Issuer,Future Predictions
USJE,"[2762282.578647136, 2761952.58885622, 2760624.888837337, 2758922.044038772, 2757182.071805, 2755578.71133089, 2754188.367724418, 2753034.4069004054, 2752110.378146171, 2751396.6426253314, 2750868.6876296992, 2752062.4995231624, 2751551.3163805003, 2751918.2902574535, 2752221.04370594, 2752211.7260098453, 2751918.2902574535, 2752935.926020145, 2752091.8861031528, 2752120.5559372897, 2752114.965319633, 2751850.4860997195, 2751361.5220785136, 2750761.7491483684, 2750159.825980663, 2749634.3079209323, 2749228.6297678943, 2748957.1264386172, 2748815.35410881, 2748787.544369697]"
VFPM,"[0.0007222617277875543, 0.0007218918181024492, 0.0007214999059215188, 0.0007211535703390837, 0.0007208254537545145, 0.0007204737630672753, 0.0007200712570920587, 0.0007196110673248768, 0.0007191018667072058, 0.0007185619324445724, 0.0007180134998634458, 0.0007174779893830419, 0.0007169733289629221, 0.0007165127899497747, 0.0007161052199080586, 0.0007157544605433941, 0.0007154618506319821, 0.0007152241887524724, 0.0007150376914069057, 0.0007148965960368514, 0.0007147951982915401, 0.0007147270953282714, 0.0007146861171349883, 0.0007146670250222087, 0.0007146646967157722, 0.0007146748248487711, 0.0007146941497921944, 0.000714719295501709, 0.0007147482829168439, 0.0007147787837311625]"
VARG,"[34162.57107257843, 34095.67361474037, 34050.25294423103, 34018.52922439575, 33995.79539299011, 33977.873051166534, 33961.90872192383, 33946.3425219059, 33930.52830696106, 33914.41777944565, 33898.24329018593, 33882.37947225571, 33867.169630527496, 33852.90485620499, 33839.7705078125, 33827.88667678833, 33817.271637916565, 33807.90711641312, 33799.72262382507, 33792.61503815651, 33786.48254275322, 33781.20504617691, 33776.68986916542, 33772.81692028046, 33769.50657367706, 33766.67137145996, 33764.251267910004, 33762.17969059944, 33760.40181517601, 33758.883702754974]"
VROS,"[314920.0449585915, 312539.42003846174, 309439.3944740296, 306462.3632133007, 303965.18102288246, 302041.35985672474, 300655.61574697495, 299720.3995138407, 299136.7014795542, 298813.4868890047, 298675.3761470318, 298663.9570891857, 298736.05370521545, 298861.00950837135, 299017.62557029724, 299191.68792665005, 299373.76204133034, 299557.6917529106, 299739.3975108862, 299916.17649793625, 300086.14549040794, 300247.9830086231, 300400.68528056145, 300543.59847307205, 300676.2437224388, 300798.3539700508, 300909.8647534847, 301010.86816191673, 301101.58520936966, 301182.4164837599]"
VITA,"[923712.7594470978, 923900.0044584274, 923998.5852956772, 924140.0546550751, 924367.5939559937, 924678.692650795, 925049.7097492218, 925450.727891922, 925853.7126302719, 926236.2364053726, 926582.8593492508, 926884.7108602524, 927137.9414319992, 927343.2205438614, 927503.728222847, 927624.36003685, 927710.9320878983, 927769.3023204803, 927805.0357818604, 927823.279094696, 927828.3838748932, 927824.0322589874, 927813.1950616837, 927337.4881267548, 927615.4475927353, 927828.3420324326, 927915.3743505478, 927888.9717578888, 927780.6834697723, 927154.8457860947]"
VSC,"[12266.292065475136, 12308.090239868034, 12366.773941135034, 12423.418032936752, 12467.92942341417, 12496.674666926265, 12510.08055768907, 12510.696341469884, 12501.846034638584, 12486.809550225735, 12468.398346193135, 12448.796802386642, 12429.561458341777, 12411.700541339815, 12395.783912949264, 12382.056965120137, 12370.539705455303, 12361.108307680115, 12353.557334421203, 12347.643091343343, 12343.115513725206, 12339.734592614695, 12337.283743545413, 12335.57211693842, 12334.437872073613, 12333.746782620437, 12333.388486295007, 12333.274590200745, 12333.33484902978, 12333.515114500187]"
VTKS,"[89922.36557006836, 89900.57029724121, 89848.6644744873, 89784.3864440918, 89717.95806884766, 89654.82902526855, 89597.62687683105, 89547.3461151123, 89504.0542602539, 89467.33589172363, 89436.5478515625, 89410.97145080566, 89389.88456726074, 89372.61772155762, 89358.56552124023, 89347.19352722168, 89338.04740905762, 89330.7300567627, 89324.9095916748, 89320.30334472656, 89316.68586730957, 89313.8557434082, 89311.66191101074, 89309.96932983398, 89308.67958068848, 89307.69996643066, 89306.96411132812, 89306.42166137695, 89306.02226257324, 89305.73616027832]"
ZAS,"[10150.261569023132, 10251.510739326477, 10439.514309167862, 10696.665340662003, 11006.896954774857, 11355.770045518875, 11730.645334720612, 12120.813256502151, 12517.515885829926, 12913.81705403328, 13304.448848962784, 13685.558593273163, 14054.460883140564, 14409.398061037064, 14749.329364299774, 15073.736941814423, 15382.492595911026, 15675.736331939697, 15953.783583641052, 16217.074608802795, 16466.113764047623, 16701.456010341644, 16923.666429519653, 17133.33034515381, 17331.017899513245, 17517.29754805565, 17692.71919131279, 17857.83104300499, 18013.149267435074, 18159.186655282974]"
ZILU,"[13046.45650982857, 13048.325803875925, 13056.57826960087, 13068.595257401468, 13082.086387276651, 13095.396661758425, 13107.48189687729, 13117.79201924801, 13126.131159067156, 13132.534122467043, 13137.172892689707, 13140.285652875902, 13142.134472727777, 13142.973232269289, 13143.040797114374, 13142.537131905558, 13141.63558483124, 13140.474697947504, 13139.169809222223, 13137.801450490953, 13136.43718659878, 13135.122060775759, 13133.884736895563, 13132.747736573221, 13131.718567013742, 13130.804052948954, 13129.999417066576, 13129.300564527513, 13149.533846974375, 13148.420733213427]"
ZILUP,"[56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0, 56000.0]"
ZIMS,"[126691.89047813416, 126700.96719264984, 126705.1719725132, 126708.97886157036, 126715.59500694275, 126726.11683607101, 126740.33087491989, 126757.33789801598, 126776.00041031837, 126795.21346092224, 126814.03985619545, 126831.77718520164, 126847.94968366623, 126862.28770017624, 126874.68934059143, 126885.1763010025, 126893.85551214218, 126900.8896946907, 126906.47062659264, 126910.79938411713, 126914.07123208046, 126916.47174954414, 126918.16636919975, 126919.29960250854, 126919.99813914299, 126920.3650355339, 126920.48707604408, 126920.43477296829, 126920.2615916729, 126920.0109243393]"
ZKAR,"[72572.125390172, 72740.8237606287, 73039.13353383541, 73424.01039600372, 73861.77502572536, 74327.30303704739, 74802.58959531784, 75275.22224187851, 75736.96272075176, 76182.6259791851, 76609.18290913105, 77015.08224010468, 77399.78355169296, 77763.39469850063, 78106.4365953207, 78429.67110872269, 78733.99205505848, 79020.34832537174, 79289.70257937908, 79542.99911856651, 79781.14093840122, 80004.99546527863, 80215.38423001766, 80413.08057308197, 80598.80505502224, 80773.24840426445, 80937.04971671104, 81090.8228456974, 81235.1323068142, 81370.52655220032]"
ZPKO,"[350417.838460207, 350390.9397125244, 350341.82868003845, 349296.08902931213, 348668.49031448364, 348339.06295895576, 348211.81193590164, 348209.7010910511, 348283.1158876419, 348399.4060099125, 348537.1918916702, 348682.3366820812, 348825.85476636887, 350928.27560305595, 353318.17801594734, 353763.2564306259, 355029.72460985184, 354687.7871096134, 353777.1027982235, 352728.8649916649, 351792.25021004677, 352914.8129940033, 352859.44688916206, 352402.2843718529, 351810.5506539345, 351265.25552272797, 350834.21713113785, 350528.1833589077, 350332.02971220016, 350221.2975025177]"
ZPOG,"[272053.32212150097, 272211.67862415314, 272356.6281795502, 272504.78856265545, 272657.85701572895, 272811.0711276531, 272958.77553522587, 273096.7081338167, 273222.6460427046, 273336.07628941536, 273437.6575052738, 273528.8146138191, 273611.07386648655, 273685.9171837568, 273754.53516840935, 273817.8587704897, 273876.47695839405, 273930.83937466145, 273981.09801113605, 274027.41752564907, 274069.791585207, 274108.3151847124, 274143.0326551199, 274174.03899133205, 274201.46718621254, 274225.5515605211, 274246.456772089, 274264.44247365, 274279.77465093136, 274292.71928966045]"
ZUAS,"[212248.2628583908, 212251.96266174316, 212260.77889502048, 212272.85281419754, 212286.70054972172, 212301.10761523247, 212315.13014137745, 212328.0845940113, 212339.52515423298, 212349.20547008514, 212357.0373237133, 212363.05094361305, 212367.36436486244, 212370.14476954937, 212371.58895134926, 212371.90707027912, 212371.30250036716, 212369.96833384037, 212368.08018386364, 212365.79330563545, 212363.23930621147, 212360.53210794926, 212357.76033997536, 212354.9998819828, 212352.30666697025, 212349.72367286682, 212347.2811281681, 212345.00021338463, 212342.89264976978, 212340.96357822418]"
